ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00429,0.00402,0.00577,0.00617,0.00368,0.00331,0.00383,0.00317,0.00395,0.00362,0.00459,0.00417
RW,0.07813,0.08072,0.08936,0.10101,0.1101,0.10263,0.09405,0.08392,0.09063,0.08985,0.09115,0.09109
R1,0.1543,0.1743,0.21557,0.2726,0.14193,0.14342,0.14424,0.14022,0.14679,0.15663,0.17201,0.18392
R2,0.04069,0.03878,0.0462,0.05424,0.03646,0.03117,0.03052,0.0276,0.03823,0.0344,0.03657,0.03635
R3,0.01186,0.01079,0.01267,0.01456,0.01015,0.00871,0.00829,0.00746,0.01091,0.0096,0.00999,0.00981
RL,0.14004,0.16208,0.20354,0.25916,0.12933,0.13372,0.13633,0.13354,0.13346,0.14586,0.16251,0.17506
RSU,0.03367,0.03366,0.04571,0.06564,0.02829,0.0233,0.02328,0.02394,0.0299,0.0271,0.03033,0.03428
RS,0.02392,0.02747,0.04166,0.06267,0.01961,0.01874,0.02101,0.02272,0.02093,0.02193,0.02746,0.03258


2
R4,0.01921,0.01469,0.01467,0.01871,0.01709,0.01095,0.00962,0.01211,0.01808,0.01253,0.01159,0.01446
RW,0.11618,0.11368,0.12587,0.12529,0.15415,0.1307,0.12239,0.12341,0.13132,0.12104,0.12361,0.12242
R1,0.23544,0.25761,0.31595,0.34279,0.2046,0.19215,0.19599,0.20955,0.2175,0.21932,0.24125,0.25633
R2,0.07178,0.06615,0.08318,0.09631,0.06188,0.04865,0.05163,0.05849,0.06616,0.05589,0.06352,0.07169
R3,0.03205,0.02523,0.02869,0.03454,0.02782,0.01867,0.0182,0.02125,0.02971,0.02142,0.0222,0.02588
RL,0.21538,0.2375,0.29656,0.32385,0.18629,0.17684,0.18406,0.19791,0.1985,0.202,0.22653,0.24208
RSU,0.06908,0.07001,0.09158,0.09779,0.05405,0.04076,0.04174,0.04967,0.05939,0.05087,0.0568,0.0624
RS,0.05611,0.06178,0.08619,0.09429,0.04374,0.03562,0.03907,0.04762,0.04815,0.04461,0.05326,0.05991


L
R4,0.00881,0.01219,0.01615,0.02468,0.00899,0.00974,0.01049,0.0109,0.0089,0.01078,0.0127,0.0151
RW,0.09207,0.10974,0.12261,0.1472,0.13805,0.13023,0.12072,0.10419,0.10915,0.11862,0.12129,0.12178
R1,0.17826,0.24154,0.30117,0.39342,0.17784,0.18577,0.18933,0.17351,0.17606,0.20945,0.23208,0.24052
R2,0.04257,0.05944,0.07403,0.10867,0.04246,0.04524,0.04671,0.04779,0.04201,0.05121,0.05717,0.0663
R3,0.01431,0.02135,0.02753,0.04197,0.01404,0.01648,0.01755,0.01843,0.01415,0.01853,0.0214,0.02558
RL,0.16519,0.22598,0.28391,0.37546,0.16275,0.17389,0.17845,0.16554,0.16227,0.19601,0.21876,0.2295
RSU,0.04157,0.06024,0.08237,0.13003,0.04271,0.03787,0.03864,0.03531,0.04038,0.04601,0.05227,0.05535
RS,0.0306,0.05225,0.07711,0.12624,0.03148,0.0327,0.03602,0.03411,0.02968,0.03978,0.04878,0.05352


M
R4,0.00169,0.00432,0.00648,0.01921,0.00202,0.00336,0.00449,0.0095,0.00183,0.00377,0.0053,0.0127
RW,0.08109,0.09327,0.10304,0.13214,0.1205,0.11728,0.10999,0.10523,0.09609,0.10342,0.10603,0.1169
R1,0.1651,0.20753,0.25476,0.36109,0.16184,0.16961,0.17372,0.17893,0.16202,0.18594,0.206,0.2389
R2,0.03794,0.04382,0.05462,0.09539,0.03632,0.03548,0.03679,0.04707,0.03679,0.03908,0.04385,0.06294
R3,0.00462,0.01086,0.0149,0.03351,0.00474,0.00834,0.01011,0.01655,0.00464,0.00942,0.01202,0.02213
RL,0.149,0.18974,0.24014,0.34251,0.14491,0.15536,0.16386,0.1697,0.14568,0.17017,0.19425,0.22659
RSU,0.03432,0.04543,0.05795,0.10718,0.03441,0.03175,0.03151,0.03652,0.03316,0.03682,0.04038,0.05422
RS,0.02411,0.03828,0.05321,0.10353,0.02438,0.02653,0.02877,0.03512,0.02332,0.03086,0.03693,0.05219


N
R4,0.01002,0.01046,0.01263,0.02107,0.00682,0.00684,0.00649,0.00783,0.0081,0.00826,0.00856,0.01141
RW,0.09784,0.10783,0.12281,0.14703,0.10287,0.10541,0.09956,0.08799,0.09991,0.10611,0.10958,0.1098
R1,0.20693,0.24508,0.31152,0.40167,0.14241,0.15505,0.16129,0.14957,0.16831,0.18936,0.21206,0.21762
R2,0.05203,0.06005,0.0795,0.11037,0.03544,0.03795,0.04095,0.04109,0.04207,0.04639,0.05394,0.05978
R3,0.01742,0.01988,0.02525,0.03961,0.01186,0.01278,0.01291,0.01469,0.01409,0.01552,0.01706,0.0214
RL,0.18091,0.22487,0.28878,0.38011,0.12468,0.14205,0.14928,0.14151,0.14725,0.17359,0.19638,0.20591
RSU,0.04775,0.06003,0.0855,0.13576,0.02317,0.02528,0.02706,0.02634,0.03097,0.03524,0.04082,0.04394
RS,0.03516,0.0519,0.0801,0.13193,0.01674,0.02155,0.02513,0.02543,0.02252,0.03016,0.038,0.04246


O
R4,0.00205,0.00306,0.00672,0.01286,0.00168,0.00208,0.00409,0.00601,0.00184,0.00247,0.00507,0.00809
RW,0.08574,0.09415,0.10708,0.12385,0.11863,0.11529,0.11261,0.09973,0.09881,0.10309,0.10874,0.10761
R1,0.16386,0.20117,0.25851,0.33588,0.14881,0.16003,0.17357,0.16676,0.155,0.17736,0.2058,0.21771
R2,0.03841,0.04042,0.05823,0.07962,0.03394,0.03079,0.03795,0.03881,0.0358,0.03479,0.04547,0.05081
R3,0.0069,0.00812,0.01504,0.02598,0.00574,0.00581,0.00917,0.01209,0.00624,0.00674,0.01136,0.01631
RL,0.15603,0.19373,0.24755,0.31798,0.14113,0.15406,0.1662,0.15823,0.1473,0.17078,0.19705,0.20628
RSU,0.03713,0.04522,0.06342,0.10073,0.02997,0.02888,0.03339,0.03413,0.0324,0.03457,0.04206,0.04665
RS,0.0274,0.03839,0.05875,0.09734,0.02145,0.02404,0.03068,0.03263,0.02349,0.02899,0.03873,0.0448


P
R4,0.00442,0.00544,0.00982,0.02233,0.00378,0.00405,0.00621,0.00979,0.00406,0.00463,0.00758,0.01358
RW,0.10155,0.11061,0.12221,0.14859,0.13365,0.1268,0.11597,0.10282,0.11484,0.11777,0.11866,0.12123
R1,0.20925,0.25135,0.30809,0.40443,0.18015,0.18676,0.18649,0.17403,0.19302,0.21385,0.23192,0.24293
R2,0.05318,0.06132,0.07179,0.11434,0.04552,0.04495,0.04339,0.04913,0.04892,0.05177,0.05397,0.06859
R3,0.0129,0.01538,0.01974,0.04183,0.01085,0.01137,0.01212,0.01807,0.01176,0.01305,0.01497,0.02517
RL,0.18847,0.23169,0.28749,0.38344,0.16244,0.17241,0.17423,0.16508,0.17396,0.19729,0.21659,0.2304
RSU,0.05504,0.0663,0.08847,0.13713,0.0413,0.03809,0.03823,0.03555,0.04672,0.048,0.05303,0.05618
RS,0.04311,0.05817,0.08321,0.13329,0.03199,0.03306,0.03574,0.03437,0.03636,0.04182,0.04966,0.05437


R
R4,0.0124,0.01362,0.01212,0.01025,0.0153,0.01019,0.00778,0.00761,0.01321,0.01165,0.00943,0.00863
RW,0.10285,0.11098,0.11601,0.10471,0.15005,0.14054,0.12861,0.13291,0.11909,0.12306,0.12064,0.11405
R1,0.19948,0.24928,0.28944,0.27869,0.19187,0.20462,0.20468,0.21933,0.19141,0.22287,0.23724,0.23885
R2,0.05566,0.06712,0.0774,0.07325,0.05642,0.05384,0.05403,0.05822,0.05452,0.05928,0.06291,0.0631
R3,0.02095,0.02246,0.02371,0.02214,0.0227,0.01732,0.01555,0.01678,0.02109,0.01946,0.01866,0.01874
RL,0.18696,0.2318,0.27192,0.26472,0.17919,0.19035,0.19211,0.20771,0.17917,0.20726,0.22283,0.22666
RSU,0.05193,0.06571,0.07814,0.06867,0.0521,0.04561,0.04503,0.05627,0.04728,0.05218,0.05467,0.05609
RS,0.04015,0.05773,0.07308,0.06565,0.04094,0.03948,0.0418,0.05347,0.03643,0.04545,0.05084,0.0534


S
R4,0.01041,0.01244,0.01524,0.01977,0.01939,0.01276,0.00987,0.00938,0.01354,0.01255,0.01196,0.01269
RW,0.0744,0.09627,0.12346,0.14078,0.14759,0.13344,0.12485,0.10326,0.09727,0.11086,0.12355,0.11882
R1,0.14689,0.21332,0.30926,0.38346,0.18813,0.19143,0.19945,0.17497,0.16221,0.20035,0.24163,0.23986
R2,0.03701,0.05403,0.08175,0.10239,0.05127,0.0498,0.05255,0.04685,0.04212,0.05142,0.06372,0.06414
R3,0.01474,0.01949,0.02721,0.03667,0.02387,0.01892,0.01736,0.01697,0.01793,0.01909,0.02115,0.02314
RL,0.13008,0.19646,0.29019,0.36477,0.1687,0.17631,0.18719,0.16645,0.14454,0.18453,0.22676,0.22818
RSU,0.02931,0.04691,0.08331,0.11824,0.05451,0.04129,0.04064,0.03456,0.03578,0.04263,0.05386,0.05319
RS,0.02002,0.03973,0.07793,0.11443,0.04036,0.03515,0.0378,0.03329,0.02493,0.03616,0.05017,0.05129


T
R4,0.01289,0.01156,0.0158,0.02094,0.01221,0.00937,0.01064,0.01014,0.01253,0.01033,0.01269,0.01363
RW,0.11414,0.11335,0.12411,0.14192,0.16108,0.14311,0.12922,0.11058,0.13264,0.12611,0.1263,0.12396
R1,0.22889,0.25226,0.30201,0.38203,0.20998,0.20628,0.20093,0.18552,0.21765,0.22643,0.24089,0.24928
R2,0.06656,0.06514,0.08193,0.10785,0.06038,0.05248,0.05407,0.052,0.06303,0.05799,0.06503,0.07004
R3,0.02506,0.02372,0.03107,0.04078,0.02319,0.01898,0.02053,0.01965,0.02402,0.02104,0.02468,0.02647
RL,0.20975,0.23461,0.2877,0.36555,0.19343,0.19208,0.19156,0.17752,0.19997,0.21073,0.22958,0.23854
RSU,0.06753,0.06482,0.08355,0.12144,0.05734,0.04455,0.04271,0.03962,0.06071,0.05234,0.05618,0.0594
RS,0.0546,0.05665,0.07828,0.11768,0.04603,0.03854,0.03976,0.0382,0.04887,0.04545,0.05241,0.05734


U
R4,0.00035,0.00136,0.003,0.0037,0.00032,0.00117,0.00203,0.00176,0.00033,0.00125,0.00241,0.00239
RW,0.07767,0.07711,0.09156,0.10871,0.11769,0.1013,0.10029,0.08521,0.09281,0.08718,0.09527,0.09529
R1,0.14585,0.16343,0.22151,0.29714,0.14609,0.1398,0.15466,0.14475,0.14498,0.15029,0.18148,0.19431
R2,0.02423,0.03029,0.03727,0.04584,0.02398,0.0258,0.02602,0.02237,0.02393,0.02779,0.03054,0.03002
R3,0.00326,0.00501,0.0071,0.00917,0.00292,0.00425,0.0049,0.00441,0.00307,0.00458,0.00578,0.00595
RL,0.13866,0.15613,0.21386,0.28452,0.13902,0.1335,0.14947,0.13863,0.13789,0.14354,0.17531,0.18608
RSU,0.0276,0.02977,0.04332,0.0723,0.02796,0.0231,0.02479,0.02405,0.02709,0.02577,0.03109,0.03591
RS,0.01808,0.024,0.03901,0.06907,0.01822,0.01863,0.02223,0.02289,0.01767,0.02078,0.02791,0.0342


W
R4,0.0,0.00035,0.00183,0.00419,0.0,0.00034,0.00129,0.00222,0.0,0.00034,0.00151,0.00289
RW,0.04218,0.05693,0.07656,0.1033,0.09361,0.09693,0.09229,0.08812,0.05486,0.06877,0.08144,0.09432
R1,0.07366,0.11986,0.18703,0.28383,0.10468,0.12912,0.14288,0.15091,0.0813,0.11944,0.15802,0.19571
R2,0.0086,0.01259,0.0249,0.04871,0.01507,0.01382,0.01858,0.02585,0.01041,0.01286,0.02109,0.03356
R3,0.00029,0.0009,0.00378,0.01058,0.00025,0.00084,0.00269,0.00561,0.00027,0.00087,0.00313,0.0073
RL,0.07054,0.1131,0.17725,0.27053,0.10111,0.12249,0.13508,0.14371,0.07803,0.11281,0.14957,0.18644
RSU,0.01019,0.01704,0.03283,0.0646,0.02353,0.02132,0.02207,0.02554,0.01188,0.01682,0.02441,0.03582
RS,0.00543,0.01272,0.02917,0.06146,0.01174,0.01508,0.01905,0.0242,0.00634,0.01253,0.02156,0.03397


Y
R4,0.00035,0.00064,0.009,0.01414,0.00023,0.00044,0.00569,0.00648,0.00027,0.00052,0.00697,0.00885
RW,0.1057,0.11145,0.12175,0.14342,0.11485,0.12443,0.1232,0.10286,0.10963,0.11696,0.12201,0.11952
R1,0.20538,0.24765,0.30213,0.39176,0.14621,0.1799,0.19541,0.17486,0.1703,0.20761,0.23665,0.2414
R2,0.03983,0.04438,0.06473,0.09862,0.02835,0.03185,0.0413,0.04396,0.03302,0.03695,0.05028,0.06069
R3,0.00455,0.00524,0.01723,0.03136,0.00317,0.0037,0.0108,0.01406,0.00373,0.00432,0.01326,0.01937
RL,0.19852,0.23584,0.28959,0.37439,0.14131,0.17126,0.18723,0.16707,0.16461,0.19767,0.22679,0.23067
RSU,0.04884,0.06043,0.07885,0.12545,0.0252,0.03314,0.03831,0.03489,0.03292,0.04218,0.05107,0.05433
RS,0.03656,0.05225,0.0735,0.12162,0.01845,0.02829,0.03547,0.03365,0.02429,0.03615,0.04739,0.05246


Z
R4,0.00183,0.00345,0.0071,0.01058,0.00171,0.00293,0.00437,0.00464,0.00177,0.00317,0.0054,0.00644
RW,0.07746,0.09322,0.11015,0.13235,0.11282,0.11989,0.1119,0.09717,0.0913,0.10459,0.11075,0.11172
R1,0.15879,0.20817,0.27377,0.36004,0.15119,0.17372,0.17764,0.16515,0.15391,0.18894,0.21513,0.22596
R2,0.02645,0.04109,0.05755,0.0869,0.02526,0.03439,0.03681,0.03931,0.02564,0.03735,0.04481,0.054
R3,0.00637,0.00946,0.01657,0.02597,0.00611,0.00808,0.01045,0.0116,0.0062,0.00871,0.01279,0.016
RL,0.14086,0.19161,0.25763,0.34375,0.13454,0.15966,0.16705,0.15753,0.13671,0.17377,0.20236,0.21561
RSU,0.03407,0.04701,0.0706,0.11374,0.03136,0.03417,0.03447,0.03306,0.03187,0.03919,0.04605,0.05091
RS,0.02458,0.04009,0.06568,0.11017,0.02244,0.02898,0.03187,0.03185,0.02286,0.0333,0.04265,0.0491


